reference,category,type,subject,date,notifying_country,classification,risk_decision,distribution,forAttention,forFollowUp,operator,origin,hazards
"2022.7669","pet food","feed","Non-approved feed additive cannabidiol in pet food from the Netherlands","30-12-2022 17:02:24","Lithuania","information notification for follow-up","undecided","Lithuania","","Netherlands","Lithuania,Netherlands","unknown origin",""
"2022.7667","fish and products thereof ","food","Presence of histamine above legal limits in mackerel fillets from Poland","30-12-2022 16:28:40","Slovenia","alert notification","serious","Poland,Slovenia","Poland","Iceland,Poland","Iceland,Poland,Slovenia","Poland","histamine  "
"2022.7666","other food product / mixed","food","mould in baby food from Spain","30-12-2022 15:30:58","Poland","information notification for follow-up","undecided","Poland","","Poland,Spain","Poland,Spain","Spain","moulds  infested with"
"2022.7665","fruits and vegetables","food","CARBENDAZIM E BUPROFEZIN IN RAMBUTAN FROM THAILANDIA ","30-12-2022 15:27:21","Italy","information notification for attention","undecided","","Italy,Thailand","","Italy,Thailand","Thailand","buprofezin  ,carbendazim  unauthorised substance"
"2022.7663","fruits and vegetables","food","Chorpyrifos in dried black-eye beans from Madagascar via Türkiye","30-12-2022 14:57:53","Belgium","alert notification","serious","Netherlands","INFOSAN","Netherlands","Netherlands,Türkiye","Madagascar","chlorpyrifos  unauthorised substance"
"2022.7662","dietetic foods, food supplements and fortified foods","food","Glass fragments in food supplement from Austria","30-12-2022 14:19:13","Austria","alert notification","serious","Austria,Bosnia and Herzegovina,Slovenia","INFOSAN","Slovenia","Slovenia","Austria",""
"2022.7661","fruits and vegetables","food","Fenitrothion in oranges from Egypt","30-12-2022 14:00:04","Slovenia","border rejection notification","not serious","Poland","","","Egypt,Poland","Egypt","fenitrothion  "
"2022.7658","cocoa and cocoa preparations, coffee and tea","food","Undeclared allergens hazelnuts, wheat and milk in Chocolate bar from the Netherlands ","30-12-2022 13:08:13","Netherlands","alert notification","serious","Denmark","","","Netherlands","Netherlands",""
"2022.7657","poultry meat and poultry meat products","food","Salmonella Enteritidis (in 1 out of 5 units) in chicken thighs without bone and skin from Poland","30-12-2022 12:59:34","Latvia","alert notification","serious","Denmark,Latvia,Poland","Poland","Denmark","Latvia,Poland","Poland","Salmonella Enteritidis "
"2022.7654","poultry meat and poultry meat products","food","Salmonella enterica ser. Mbandaka (presence in 2 out of 5 samples /25g) in chicken caesar sandwich from Estonia, containing frozen steam cooked chicken breast fillets from Ukraine, via the United Kingdom and via the Netherlands","30-12-2022 12:25:21","Finland","alert notification","serious","Estonia,Finland","EFSA Member,Estonia,Finland,INFOSAN","Netherlands","Estonia,Finland,Netherlands,Ukraine,United Kingdom","Estonia,Ukraine","Salmonella  enteritidis ,Salmonella Mbandaka "
"2022.7653","fruits and vegetables","food","Cadmio por encima de los límites permitidos en pimientos precocinados congelados de Perú // Cadmium above permitted limits in frozen pre-cooked peppers from Peru","30-12-2022 11:33:27","Spain","border rejection notification","serious","","","","Peru,Spain","Peru","cadmium  "
"2022.7652","pet food","feed","Salmonella in farina di bufalo per petfood","30-12-2022 11:12:43","Italy","border rejection notification","not serious","","","","India,Italy","India","Salmonella spp. "
"2022.7650","fish and products thereof ","food","Detection of listeria monocytogenesis in a batch of salmon tartar","30-12-2022 10:08:55","France","alert notification","serious","Luxembourg,Switzerland","","Luxembourg,Switzerland","France","France","Listeria monocytogenes "
